음 식 명,중량(g),에너지(kcal),탄수화물(g),지방(g),단백질(g),당뇨 위험 분류,레이블,고기,채소,해산물
알밥,400.0,607.0,92.0,3.0,15.0,0,0,0,0,0
일반비빔밥,500.0,703.0,96.0,25.0,23.0,0,1,1,1,0
비빔냉면,550.0,594.0,91.0,9.0,24.0,0,2,0,0,0
(검은)콩조림,20.0,57.0,7.0,2.0,4.0,1,3,0,1,0
부대찌개,600.0,526.0,47.0,28.0,28.0,0,4,1,0,0
불고기,150.0,387.0,13.0,22.0,33.0,0,5,1,0,0
취나물,50.0,73.0,3.0,7.0,2.0,0,6,0,1,0
총각김치,50.0,18.0,3.0,0.0,1.0,0,7,0,0,0
크림소스스파게티,400.0,825.0,86.0,45.0,19.0,1,8,0,0,0
닭칼국수,900.0,643.0,70.0,20.0,40.0,0,9,1,0,0
된장찌개,400.0,147.0,16.0,5.0,12.0,0,10,0,0,0
동그랑땡,150.0,312.0,15.0,19.0,20.0,0,11,0,0,0
동태전,150.0,265.0,11.0,16.0,20.0,0,12,0,0,1
돈가스,200.0,621.0,37.0,39.0,28.0,1,13,1,0,0
두부부침,100.0,135.0,4.0,9.0,10.0,0,14,0,0,0
달걀국,450.0,193.0,5.0,11.0,16.0,0,15,0,0,0
달걀장조림,100.0,134.0,10.0,6.0,9.0,0,16,0,0,0
달걀찜,250.0,190.0,5.0,11.0,16.0,0,17,0,0,0
달걀말이,100.0,172.0,5.0,11.0,12.0,0,18,0,0,0
어묵볶음,150.0,282.0,36.0,8.0,18.0,1,19,0,0,0
어묵국,600.0,252.0,37.0,4.0,23.0,0,20,0,0,0
돼지고기김치찌개,400.0,246.0,9.0,18.0,16.0,0,21,1,0,0
갈치조림,100.0,99.0,5.0,4.0,11.0,0,22,0,0,1
감자볶음,50.0,58.0,8.0,3.0,1.0,0,23,0,1,0
깻잎장아찌,30.0,34.0,8.0,0.0,2.0,0,24,0,0,0
일반김밥,200.0,349.0,64.0,5.0,10.0,0,25,0,0,0
김치볶음밥,500.0,657.0,79.0,5.0,9.0,0,26,0,0,0
김치국,450.0,86.0,13.0,3.0,6.0,0,27,0,0,0
김치전,150.0,286.0,32.0,12.0,13.0,1,28,0,1,0
김치말이국수,600.0,310.0,61.0,2.0,10.0,0,29,0,0,0
고기만두,250.0,454.0,55.0,18.0,19.0,0,30,1,0,0
곤드레밥,350.0,507.0,108.0,8.0,14.0,0,31,0,0,0
고사리나물,50.0,44.0,4.0,3.0,2.0,0,32,0,1,0
건새우볶음,20.0,69.0,5.0,2.0,7.0,1,33,0,0,1
해물파전,150.0,267.0,28.0,13.0,13.0,1,34,0,0,1
햄버거스테이크,200.0,437.0,21.0,28.0,25.0,0,35,1,0,0
햄부침,100.0,233.0,10.0,15.0,13.0,0,36,1,0,0
호박전,150.0,215.0,17.0,14.0,7.0,0,37,0,1,0
회냉면,550.0,639.0,132.0,9.0,20.0,0,38,0,0,1
훈제오리,250.0,790.0,12.0,65.0,38.0,0,39,1,0,0
잔치국수,700.0,564.0,105.0,6.0,20.0,0,40,0,0,0
오징어채볶음,20.0,56.0,7.0,1.0,5.0,0,41,0,0,1
자장면,650.0,761.0,134.0,23.0,16.0,0,42,0,0,0
짬뽕,1000.0,650.0,119.0,14.0,26.0,0,43,0,0,1
찜닭,1500.0,1358.0,141.0,37.0,115.0,0,44,1,0,0
쫄면,450.0,622.0,111.0,7.0,12.0,0,45,0,0,0
족발,150.0,382.0,32.0,17.0,26.0,1,46,1,0,0
콩국수,800.0,624.0,67.0,20.0,48.0,0,47,0,0,0
막국수,550.0,567.0,111.0,5.0,27.0,0,48,0,0,0
메밀국수,600.0,589.0,120.0,5.0,25.0,0,49,0,0,0
미역국,500.0,50.0,5.0,4.0,3.0,0,50,0,0,0
청포묵무침,250.0,158.0,20.0,4.0,3.0,0,51,0,1,0
멸치볶음,20.0,69.0,6.0,2.0,7.0,1,52,0,0,1
물만두,120.0,158.0,20.0,6.0,6.0,0,53,1,0,0
물냉면,800.0,580.0,96.0,10.0,29.0,0,54,0,0,0
낙지볶음,200.0,181.0,24.0,3.0,18.0,0,55,0,0,1
오일소스스파게티,400.0,627.0,99.0,17.0,15.0,0,56,0,0,0
오이소박이,50.0,17.0,3.0,1.0,1.0,0,57,0,1,0
오징어볶음,200.0,244.0,27.0,7.0,20.0,0,58,0,0,1
오므라이스,450.0,685.0,102.0,20.0,23.0,0,59,0,0,0
오삼불고기,200.0,357.0,21.0,20.0,23.0,0,60,1,0,0
돼지갈비찜,170.0,250.0,9.0,14.0,21.0,0,61,1,0,0
돼지고기메추리알장조림,50.0,63.0,3.0,2.0,8.0,0,62,1,0,0
라볶이,200.0,266.0,41.0,10.0,8.0,0,63,0,0,0
라면,550.0,509.0,83.0,18.0,14.0,0,64,0,0,0
상추겉절이,200.0,131.0,18.0,6.0,6.0,0,65,0,1,0
해물칼국수,900.0,621.0,124.0,4.0,25.0,0,66,0,0,1
시금치나물,50.0,38.0,4.0,2.0,2.0,0,67,0,1,0
소고기무국,400.0,125.0,8.0,5.0,14.0,0,68,1,0,0
소머리국밥,1100.0,891.0,77.0,41.0,49.0,0,69,1,0,0
소세지볶음,200.0,476.0,29.0,33.0,17.0,0,70,1,0,0
쌀밥,210.0,335.0,74.0,0.0,6.0,1,71,0,0,0
쌀국수,600.0,321.0,46.0,6.0,22.0,0,72,0,0,0
수제비,800.0,622.0,99.0,7.0,39.0,0,73,0,0,0
숙주나물,50.0,20.0,2.0,1.0,1.0,0,74,0,1,0
순대국밥,900.0,690.0,34.0,16.0,17.0,0,75,0,0,0
돼지고기수육,300.0,1218.0,9.0,100.0,61.0,0,76,1,0,0
토마토소스스파게티,500.0,642.0,102.0,17.0,20.0,0,77,0,0,0
떡갈비,250.0,763.0,27.0,52.0,43.0,0,78,1,0,0
떡국,800.0,715.0,144.0,5.0,22.0,1,79,0,0,0
떡만둣국,700.0,625.0,114.0,9.0,23.0,1,80,0,0,0
우동,700.0,421.0,81.0,2.0,17.0,0,81,0,0,0
열무얼갈이김치,50.0,17.0,3.0,0.0,1.0,0,82,0,0,0
열무김치,50.0,16.0,3.0,0.0,1.0,0,83,0,0,0
유부초밥,250.0,463.0,78.0,11.0,12.0,0,84,0,0,0
기타잡곡밥,200.0,302.0,66.0,1.0,7.0,0,999,0,0,0
콩밥,200.0,323.0,66.0,2.0,8.0,0,999,0,0,0
보리밥,200.0,316.0,71.0,0.0,6.0,0,999,0,0,0
돌솥밥,350.0,529.0,102.0,8.0,10.0,0,999,0,0,0
현미밥,230.0,351.0,78.0,1.0,7.0,0,999,0,0,0
흑미밥,200.0,318.0,70.0,0.0,5.0,0,999,0,0,0
감자밥,200.0,308.0,69.0,0.0,6.0,0,999,0,0,0
주먹밥,150.0,210.0,36.0,3.0,7.0,0,999,0,0,0
볶음밥,400.0,688.0,100.0,19.0,24.0,0,999,0,0,0
전주비빔밥,450.0,662.0,93.0,13.0,16.0,0,999,1,1,0
삼선볶음밥,400.0,684.0,113.0,17.0,19.0,0,999,0,0,1
새우볶음밥,400.0,635.0,92.0,18.0,24.0,0,999,0,0,1
산채비빔밥 ,400.0,496.0,90.0,11.0,11.0,0,999,0,1,0
육회비빔밥,450.0,661.0,92.0,18.0,32.0,0,999,1,1,0
해물볶음밥,400.0,659.0,85.0,24.0,23.0,1,999,0,0,1
열무비빔밥,400.0,446.0,90.0,3.0,13.0,0,999,0,1,0
불고기덮밥,500.0,700.0,92.0,21.0,29.0,0,999,1,0,0
소고기국밥,700.0,332.0,55.0,5.0,16.0,0,999,1,0,0
송이덮밥,600.0,600.0,104.0,14.0,16.0,0,999,0,1,0
오징어덮밥,500.0,694.0,83.0,21.0,41.0,0,999,0,0,1
자장밥,500.0,730.0,98.0,25.0,26.0,1,999,0,0,0
잡채밥,650.0,852.0,126.0,29.0,21.0,0,999,0,0,0
잡탕밥,750.0,737.0,101.0,22.0,29.0,0,999,0,0,0
장어덮밥,400.0,672.0,103.0,19.0,26.0,0,999,0,0,1
제육덮밥,500.0,797.0,96.0,28.0,38.0,1,999,1,0,0
짬뽕밥,900.0,697.0,93.0,22.0,42.0,0,999,0,0,1
카레라이스,500.0,653.0,93.0,11.0,13.0,0,999,0,0,0
전주콩나물국밥,900.0,432.0,89.0,4.0,12.0,0,999,0,1,0
해물덮밥,700.0,838.0,100.0,29.0,52.0,0,999,0,0,1
회덮밥,500.0,698.0,102.0,11.0,43.0,0,999,0,0,1
돼지국밥,1200.0,811.0,78.0,36.0,57.0,0,999,1,0,0
하이라이스,360.0,478.0,85.0,10.0,8.0,0,999,0,0,0
김치김밥,250.0,377.0,72.0,5.0,11.0,0,999,0,0,0
농어초밥,250.0,415.0,74.0,2.0,20.0,0,999,0,0,1
문어초밥,250.0,378.0,72.0,1.0,17.0,0,999,0,0,1
새우초밥,250.0,396.0,70.0,1.0,23.0,0,999,0,0,1
새우튀김롤,300.0,572.0,82.0,19.0,21.0,1,999,0,0,1
샐러드김밥,250.0,422.0,76.0,8.0,13.0,0,999,0,1,0
광어초밥,300.0,472.0,73.0,3.0,34.0,0,999,0,0,1
소고기김밥,250.0,426.0,76.0,7.0,15.0,0,999,1,0,0
갈비삼각김밥,100.0,183.0,33.0,3.0,7.0,0,999,1,0,0
연어롤 ,300.0,519.0,76.0,15.0,21.0,0,999,0,0,1
연어초밥,250.0,451.0,71.0,6.0,25.0,0,999,0,0,1
장어초밥,400.0,486.0,75.0,13.0,16.0,0,999,0,0,1
참치김밥,250.0,401.0,48.0,15.0,20.0,0,999,0,0,0
참치마요삼각김밥,100.0,190.0,32.0,3.0,8.0,0,999,0,0,0
치즈김밥 ,250.0,462.0,77.0,9.0,17.0,0,999,0,0,0
캘리포니아롤,300.0,468.0,81.0,10.0,13.0,0,999,0,0,0
한치초밥,250.0,390.0,77.0,1.0,14.0,0,999,0,0,1
간자장,650.0,808.0,122.0,26.0,29.0,0,999,0,0,0
굴짬뽕,900.0,641.0,116.0,8.0,37.0,0,999,0,0,1
기스면,1000.0,646.0,98.0,11.0,44.0,0,999,1,1,0
김치라면,650.0,512.0,81.0,20.0,13.0,0,999,0,0,0
김치우동,800.0,513.0,99.0,5.0,17.0,0,999,0,0,0
들깨칼국수,600.0,442.0,77.0,7.0,17.0,0,999,0,0,0
떡라면,700.0,672.0,121.0,18.0,15.0,0,999,0,0,0
비빔국수,550.0,577.0,114.0,10.0,17.0,0,999,0,0,0
삼선우동,1000.0,692.0,89.0,11.0,56.0,0,999,0,0,0
삼선자장면,700.0,788.0,112.0,25.0,38.0,0,999,0,0,0
삼선짬뽕,900.0,629.0,89.0,13.0,39.0,0,999,0,0,1
열무김치국수,800.0,488.0,82.0,8.0,22.0,0,999,0,1,0
볶음우동,300.0,378.0,62.0,11.0,10.0,0,999,0,0,0
짬뽕라면,750.0,633.0,89.0,25.0,31.0,0,999,0,0,0
치즈라면,600.0,599.0,84.0,23.0,23.0,0,999,0,0,0
짜장라면,250.0,409.0,64.0,15.0,12.0,1,999,0,0,0
군만두,250.0,684.0,76.0,31.0,20.0,1,999,1,0,0
김치만두,250.0,425.0,61.0,13.0,18.0,0,999,0,0,0
만둣국,700.0,433.0,53.0,15.0,19.0,0,999,0,0,0
게살죽,800.0,554.0,104.0,8.0,18.0,0,999,0,0,0
