음 식 명,에너지(kcal),중량(g),탄수화물(g),단백질(g),지방(g),당뇨 위험 분류,레이블
쌀밥,319,200,70,5,0,0,0
기타잡곡밥,302,200,66,7,1,0,0
콩밥,323,200,66,8,2,0,0
보리밥,316,200,71,6,0,0,0
돌솥밥,302,200,58,6,5,0,0
현미밥,306,200,68,6,1,0,0
흑미밥,318,200,70,5,0,0,0
감자밥,308,200,69,6,0,0,0
곤드레밥,290,200,62,8,5,0,0
김치볶음밥,526,400,63,7,4,0,0
주먹밥,279,200,48,9,5,0,0
볶음밥,688,400,100,24,19,0,0
일반비빔밥,562,400,77,18,20,1,0
전주비빔밥,589,400,83,14,12,0,0
삼선볶음밥,684,400,113,19,17,0,0
새우볶음밥,635,400,92,24,18,0,0
알밥,607,400,92,15,3,0,0
산채비빔밥 ,496,400,90,11,11,0,0
오므라이스,609,400,90,21,18,0,0
육회비빔밥,588,400,82,28,16,0,0
해물볶음밥,659,400,85,23,24,1,0
열무비빔밥,446,400,90,13,3,0,0
불고기덮밥,560,400,74,23,17,0,0
소고기국밥,190,400,31,9,3,0,0
송이덮밥,400,400,69,11,10,0,0
오징어덮밥,555,400,67,32,17,0,0
자장밥,584,400,78,21,20,1,0
잡채밥,524,400,77,13,18,0,0
잡탕밥,393,400,54,15,12,0,0
장어덮밥,672,400,103,26,19,0,0
제육덮밥,638,400,77,30,22,1,0
짬뽕밥,310,400,42,19,10,0,0
순대국밥,307,400,15,8,7,0,0
카레라이스,523,400,74,11,9,0,0
전주콩나물국밥,192,400,39,6,2,0,0
해물덮밥,479,400,57,30,17,0,0
회덮밥,558,400,81,34,9,0,0
소머리국밥,324,400,28,18,15,0,0
돼지국밥,270,400,26,19,12,0,0
하이라이스,531,400,94,9,11,0,0
김치김밥,377,250,72,11,5,0,0
농어초밥,415,250,74,20,2,0,0
문어초밥,378,250,72,17,1,0,0
새우초밥,396,250,70,23,1,0,0
새우튀김롤,477,250,68,18,16,1,0
샐러드김밥,422,250,76,13,8,0,0
광어초밥,393,250,60,28,3,0,0
소고기김밥,426,250,76,15,7,0,0
갈비삼각김밥,458,250,82,17,6,0,0
연어롤 ,432,250,63,17,12,1,0
연어초밥,451,250,71,25,6,0,0
유부초밥,463,250,78,12,11,0,0
장어초밥,304,250,47,10,8,0,0
참치김밥,401,250,48,20,15,1,0
참치마요삼각김밥,190,100,32,8,3,0,0
치즈김밥 ,462,250,77,17,9,0,0
캘리포니아롤,390,250,68,11,8,0,0
한치초밥,390,250,77,14,1,0,0
일반김밥,436,250,80,13,7,0,0
간자장,746,600,112,27,24,0,0
굴짬뽕,427,600,77,25,5,0,0
기스면,387,600,59,26,7,0,0
김치라면,473,600,74,12,19,0,0
김치우동,385,600,74,13,4,0,0
김치말이국수,310,600,61,10,2,0,0
닭칼국수,429,600,47,27,13,0,0
들깨칼국수,442,600,77,17,7,0,0
떡라면,576,600,104,13,15,0,0
라면,556,600,91,15,19,0,0
막국수,618,600,121,29,6,0,0
메밀국수,589,600,120,25,5,0,0
물냉면,435,600,72,22,7,0,0
비빔국수,630,600,125,18,10,0,0
비빔냉면,648,600,100,26,10,0,0
삼선우동,415,600,54,34,6,0,0
삼선자장면,675,600,96,33,21,0,0
삼선짬뽕,419,600,60,26,9,0,0
수제비,467,600,74,29,5,0,0
쌀국수,321,600,46,22,6,0,0
열무김치국수,366,600,61,16,6,0,0
오일소스스파게티,940,600,149,22,25,0,0
일식우동,361,600,70,15,1,0,0
볶음우동,756,600,125,19,22,0,0
자장면,702,600,124,15,21,0,0
잔치국수,484,600,90,17,5,0,0
짬뽕,390,600,71,15,8,0,0
짬뽕라면,507,600,71,25,20,0,0
쫄면,830,600,148,16,9,0,0
치즈라면,599,600,84,23,23,0,0
콩국수,468,600,50,36,15,0,0
크림소스스파게티,1238,600,129,29,68,1,3
토마토소스스파게티,771,600,122,24,21,0,0
해물칼국수,414,600,83,17,3,0,0
회냉면,697,600,144,22,10,0,0
떡국,536,600,108,16,4,0,0
떡만둣국,536,600,98,19,8,0,0
짜장라면,982,600,153,29,36,1,0
고기만두,364,200,44,15,15,1,0
군만두,548,200,61,16,25,1,0
김치만두,340,200,49,15,10,1,0
물만두,263,200,34,10,10,0,0
만둣국,247,400,30,11,9,0,0
게살죽,277,400,52,9,4,0,0
깨죽,253,400,36,7,9,0,0
닭죽,473,400,37,30,19,0,0
소고기버섯죽,287,400,51,10,3,0,0
어죽,280,400,45,8,3,0,0
잣죽,499,400,88,9,12,0,0
전복죽,294,400,53,7,6,0,0
참치죽,329,400,53,13,7,0,0
채소죽,257,400,50,6,3,0,0
팥죽,322,400,67,14,0,0,0
호박죽,287,400,74,5,0,0,0
콘스프,280,400,35,6,14,0,0
토마토스프,382,400,12,18,25,0,0
굴국,130,300,8,15,6,0,0
김치국,57,300,9,4,2,0,0
달걀국,129,300,4,11,7,0,0
감자국,94,300,16,7,1,0,0
미역국,30,300,3,2,3,0,0
바지락조개국,87,300,5,14,1,0,0
소고기무국,94,300,6,10,4,0,0
소고기미역국,72,300,3,9,3,0,0
순대국,206,300,9,15,12,0,0
어묵국,126,300,19,11,2,0,0
오징어국,101,300,6,17,1,0,0
토란국,556,300,102,29,8,0,0
탕국,113,300,3,14,5,0,0
홍합미역국,78,300,7,9,3,0,0
황태해장국,92,300,3,13,4,0,0
근대된장국,73,300,5,10,2,0,0
미소된장국,76,300,3,8,3,0,0
배추된장국,52,300,5,6,2,0,0
뼈다귀해장국 ,215,300,9,16,14,0,0
선지(해장)국,94,300,7,14,2,0,0
콩나물국,17,300,1,1,1,0,0
시금치된장국,91,300,7,13,3,0,0
시래기된장국,66,300,7,7,2,0,0
쑥된장국,78,300,11,9,2,0,0
아욱된장국,69,300,7,8,2,0,0
우거지된장국,57,300,9,4,1,0,0
우거지해장국,79,300,7,7,3,0,0
우렁된장국,147,300,13,15,4,0,0
갈비탕,200,500,7,16,12,0,0
감자탕,535,500,28,34,32,0,0
곰탕,302,500,26,28,9,0,0
매운탕,336,500,16,31,18,0,0
꼬리곰탕,536,500,8,39,38,0,0
