음식명,에너지(kcal),중량(g),탄수화물(g),단백질(g),지방(g),당뇨 위험 분류,레이블,고기,채소,해산물,Diabetes_Friendliness
쌀밥,319.0,200.0,70.0,5.0,0.0,0,0,0.0,0.0,0.0,0
기타잡곡밥,302.0,200.0,66.0,7.0,1.0,0,0,0.0,0.0,0.0,0
콩밥,323.0,200.0,66.0,8.0,2.0,0,0,0.0,0.0,0.0,0
보리밥,316.0,200.0,71.0,6.0,0.0,0,0,0.0,0.0,0.0,0
돌솥밥,302.0,200.0,58.0,6.0,5.0,0,0,0.0,0.0,0.0,0
현미밥,306.0,200.0,68.0,6.0,1.0,0,0,0.0,0.0,0.0,0
흑미밥,318.0,200.0,70.0,5.0,0.0,0,0,0.0,0.0,0.0,0
감자밥,308.0,200.0,69.0,6.0,0.0,0,0,0.0,0.0,0.0,0
곤드레밥,290.0,200.0,62.0,8.0,5.0,0,0,0.0,0.0,0.0,0
김치볶음밥,526.0,400.0,63.0,7.0,4.0,0,0,0.0,0.0,0.0,0
주먹밥,279.0,200.0,48.0,9.0,5.0,0,0,0.0,0.0,0.0,1
볶음밥,688.0,400.0,100.0,24.0,19.0,0,0,0.0,0.0,0.0,0
일반비빔밥,562.0,400.0,77.0,18.0,20.0,1,0,1.0,1.0,0.0,0
전주비빔밥,589.0,400.0,83.0,14.0,12.0,0,0,1.0,1.0,0.0,0
삼선볶음밥,684.0,400.0,113.0,19.0,17.0,0,0,0.0,0.0,1.0,0
새우볶음밥,635.0,400.0,92.0,24.0,18.0,0,0,0.0,0.0,1.0,0
알밥,607.0,400.0,92.0,15.0,3.0,0,0,0.0,0.0,0.0,0
산채비빔밥,496.0,400.0,90.0,11.0,11.0,0,0,0.0,1.0,0.0,0
오므라이스,609.0,400.0,90.0,21.0,18.0,0,0,0.0,0.0,0.0,0
육회비빔밥,588.0,400.0,82.0,28.0,16.0,0,0,1.0,1.0,0.0,0
해물볶음밥,659.0,400.0,85.0,23.0,24.0,1,0,0.0,0.0,1.0,0
열무비빔밥,446.0,400.0,90.0,13.0,3.0,0,0,0.0,1.0,0.0,0
불고기덮밥,560.0,400.0,74.0,23.0,17.0,0,0,1.0,0.0,0.0,0
소고기국밥,190.0,400.0,31.0,9.0,3.0,0,0,1.0,0.0,0.0,1
송이덮밥,400.0,400.0,69.0,11.0,10.0,0,0,0.0,1.0,0.0,0
오징어덮밥,555.0,400.0,67.0,32.0,17.0,0,0,0.0,0.0,1.0,0
자장밥,584.0,400.0,78.0,21.0,20.0,1,0,0.0,0.0,0.0,0
잡채밥,524.0,400.0,77.0,13.0,18.0,0,0,0.0,0.0,0.0,0
잡탕밥,393.0,400.0,54.0,15.0,12.0,0,0,0.0,0.0,0.0,0
장어덮밥,672.0,400.0,103.0,26.0,19.0,0,0,0.0,0.0,1.0,0
제육덮밥,638.0,400.0,77.0,30.0,22.0,1,0,1.0,0.0,0.0,0
짬뽕밥,310.0,400.0,42.0,19.0,10.0,0,0,0.0,0.0,1.0,0
순대국밥,307.0,400.0,15.0,8.0,7.0,0,0,0.0,0.0,0.0,0
카레라이스,523.0,400.0,74.0,11.0,9.0,0,0,0.0,0.0,0.0,0
전주콩나물국밥,192.0,400.0,39.0,6.0,2.0,0,0,0.0,1.0,0.0,1
해물덮밥,479.0,400.0,57.0,30.0,17.0,0,0,0.0,0.0,1.0,0
회덮밥,558.0,400.0,81.0,34.0,9.0,0,0,0.0,0.0,1.0,0
소머리국밥,324.0,400.0,28.0,18.0,15.0,0,0,1.0,0.0,0.0,0
돼지국밥,270.0,400.0,26.0,19.0,12.0,0,0,1.0,0.0,0.0,1
하이라이스,531.0,400.0,94.0,9.0,11.0,0,0,0.0,0.0,0.0,0
김치김밥,377.0,250.0,72.0,11.0,5.0,0,0,0.0,0.0,0.0,0
농어초밥,415.0,250.0,74.0,20.0,2.0,0,0,0.0,0.0,1.0,0
문어초밥,378.0,250.0,72.0,17.0,1.0,0,0,0.0,0.0,1.0,0
새우초밥,396.0,250.0,70.0,23.0,1.0,0,0,0.0,0.0,1.0,0
새우튀김롤,477.0,250.0,68.0,18.0,16.0,1,0,0.0,0.0,1.0,0
샐러드김밥,422.0,250.0,76.0,13.0,8.0,0,0,0.0,1.0,0.0,0
광어초밥,393.0,250.0,60.0,28.0,3.0,0,0,0.0,0.0,1.0,0
소고기김밥,426.0,250.0,76.0,15.0,7.0,0,0,1.0,0.0,0.0,0
갈비삼각김밥,458.0,250.0,82.0,17.0,6.0,0,0,1.0,0.0,0.0,0
연어롤,432.0,250.0,63.0,17.0,12.0,1,0,0.0,0.0,1.0,0
연어초밥,451.0,250.0,71.0,25.0,6.0,0,0,0.0,0.0,1.0,0
유부초밥,463.0,250.0,78.0,12.0,11.0,0,0,0.0,0.0,0.0,0
장어초밥,304.0,250.0,47.0,10.0,8.0,0,0,0.0,0.0,1.0,0
참치김밥,401.0,250.0,48.0,20.0,15.0,1,0,0.0,0.0,0.0,0
참치마요삼각김밥,190.0,100.0,32.0,8.0,3.0,0,0,0.0,0.0,0.0,1
치즈김밥,462.0,250.0,77.0,17.0,9.0,0,0,0.0,0.0,0.0,0
캘리포니아롤,390.0,250.0,68.0,11.0,8.0,0,0,0.0,0.0,0.0,0
한치초밥,390.0,250.0,77.0,14.0,1.0,0,0,0.0,0.0,1.0,0
일반김밥,436.0,250.0,80.0,13.0,7.0,0,0,0.0,0.0,0.0,0
